Order_Number,State_Code,Customer_Name,Order_Date,Status,Product,Category,Brand,Cost,Sales,Quantity,Total_Cost,Total_Sales,Assigned Supervisor,Profit
139449.0,AR,Aniruddha Kekapure,04/03/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,3.0,1950.0,2535.0,Aadil Khan,585.0
139450.0,AS,Aslam Raza,05/03/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,4.0,30000.0,39000.0,Advika Joshi,9000.0
,,,,,,,,,,,,,,
139451.0,BR,Roshan Zameer,06/03/2020,Processing,4 TB HDD,HDD,Seagate,10000.0,13000.0,2.0,20000.0,26000.0,Roshan Kumar,6000.0
139452.0,CG,Rakesh Kumar Sharma,07/03/2020,Delivered,3 TB SSD,SSD,Samsung,10500.0,13650.0,3.0,31500.0,40950.0,Aarvi Gupta,9450.0
139453.0,GA,Shivanand Sahani,07/03/2020,Shipped,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,Vijay Singh,7650.0
139454.0,GJ,Kunal Patra,07/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,Aadil Khan,4200.0
139455.0,HR,Bijendra,07/03/2020,Processing,6 GB DDR4 Ram,NIC,Hynix,1680.0,2184.0,4.0,6720.0,8736.0,Advika Joshi,2016.0
139456.0,HR,Kranti Bheke,07/03/2020,Delivered,Micro ATX motherboard,Printer,MSI,6540.0,8502.0,1.0,6540.0,8502.0,Ajay Sharma,1962.0
139457.0,HR,Jagdeep,07/03/2020,Shipped,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,3.0,8040.0,10452.0,Roshan Kumar,2412.0
139458.0,HR,Adhir Samal,07/03/2020,Order,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,2.0,16500.0,21450.0,Aarvi Gupta,4950.0
139459.0,HR,Dannana Jhammi,08/03/2020,Processing,10 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,Vijay Singh,2385.0
139460.0,HR,Vipin Kumar,09/03/2020,Delivered,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,1.0,12550.0,16315.0,Aadil Khan,3765.0
139461.0,MP,Ranjeet Kumar,10/03/2020,Shipped,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,Advika Joshi,4350.0
139462.0,MH,Sajal Singhal,11/03/2020,Order,USB Keyboard,Keyboard,Dell,800.0,1040.0,2.0,1600.0,2080.0,Ajay Sharma,480.0
139463.0,MN,Akhilesh Kumar,12/03/2020,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,1.0,600.0,780.0,Roshan Kumar,180.0
139464.0,ML,Suvankar Chakraborty,13/03/2020,Delivered,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,Aarvi Gupta,3150.0
139465.0,MZ,Suvankar Adhikary,14/03/2020,Shipped,4 TB HDD,HDD,Western Digital,6500.0,8450.0,3.0,19500.0,25350.0,Vijay Singh,5850.0
139466.0,NL,Rahul Kumar Prajapati,15/03/2020,Order,259 GB SSD,SSD,Samsung,4500.0,5850.0,2.0,9000.0,11700.0,Aadil Khan,2700.0
139467.0,OR,Sagar Jeur,16/03/2020,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,Advika Joshi,2550.0
139468.0,PB,Rhushikesh Mane,16/03/2020,Delivered,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,3.0,37500.0,48750.0,Ajay Sharma,11250.0
139469.0,RJ,Ashish Kumar,16/03/2020,Shipped,11 GB DDR4 RAM,RAM,Hynix,3500.0,4550.0,1.0,3500.0,4550.0,Roshan Kumar,1050.0
139470.0,SK,Javed Akhter,16/03/2020,Order,BTX motherboard,Motherboard,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,Aarvi Gupta,5400.0
139471.0,TN,Haridas Balraj,16/03/2020,Processing,6 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,Vijay Singh,1890.0
139472.0,TR,Kundan Kumar,16/03/2020,Delivered,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,4.0,4600.0,5980.0,Aadil Khan,1380.0
139473.0,UK,Atif Siddiqui,16/03/2020,Shipped,USB Mouse,Mouse,Samsung,350.0,455.0,3.0,1050.0,1365.0,Advika Joshi,315.0
139474.0,UP,Aditya Agarwal,16/03/2020,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,3.0,28500.0,37050.0,Ajay Sharma,8550.0
139475.0,UP,Firdoush Jabee,16/03/2020,Processing,5 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,Roshan Kumar,3000.0
139476.0,UP,Jay Prakash Kumar,16/03/2020,Delivered,515 GB M.2,SSD,Samsung,6500.0,8450.0,2.0,13000.0,16900.0,Aarvi Gupta,3900.0
139477.0,UP,Ashish Pandey,17/03/2020,Shipped,RYZEN 3rd gen. 3503,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,Vijay Singh,2550.0
139478.0,UP,Ajay Sharma,18/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,Aadil Khan,6300.0
139479.0,UP,Moinuddin Saifi,18/03/2020,Processing,19 GB DDR4 RAM,RAM,Hynix,6550.0,8515.0,2.0,13100.0,17030.0,Advika Joshi,3930.0
139480.0,UP,Ramkrishna Das Adhikary,18/03/2020,Delivered,Standard ATX motherboard,Motherboard,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,Ajay Sharma,9180.0
139481.0,UP,Ranjeet Mandal,18/03/2020,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,Roshan Kumar,690.0
139482.0,UP,Vinod Singh,18/03/2020,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,4.0,3400.0,4420.0,Aarvi Gupta,1020.0
139483.0,UP,Ajay Mehta,18/03/2020,Processing,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,4.0,2600.0,3380.0,Vijay Singh,780.0
139484.0,UP,Vikas Bhalekar,18/03/2020,Delivered,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,Aadil Khan,2250.0
139485.0,UP,Vinod Mehta,18/03/2020,Shipped,5 TB HDD,HDD,Seagate,10000.0,13000.0,2.0,20000.0,26000.0,Advika Joshi,6000.0
139486.0,UP,Jignesh Mhatre,19/03/2020,Order,4 TB SSD,SSD,Samsung,10500.0,13650.0,3.0,31500.0,40950.0,Ajay Sharma,9450.0
139487.0,UP,Sharmili Pandit,19/03/2020,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Roshan Kumar,10200.0
139488.0,BR,Vijaya singh,19/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,1.0,7000.0,9100.0,Aarvi Gupta,2100.0
139489.0,CG,Dilip Rathod,19/03/2020,Shipped,7 GB DDR4 Ram,RAM,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,Vijay Singh,1008.0
139490.0,GA,Rohan Kale,19/03/2020,Order,Micro ATX motherboard,Motherboard,MSI,6540.0,8502.0,2.0,13080.0,17004.0,Aadil Khan,3924.0
139491.0,GJ,Aniruddha Kekapure,19/03/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,Advika Joshi,804.0
139492.0,GJ,Jagjeet Variya,19/03/2020,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,1.0,8250.0,10725.0,Ajay Sharma,2475.0
139493.0,GJ,Roshan Zameer,20/03/2020,Shipped,11 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,Roshan Kumar,2385.0
139494.0,GJ,Binod Kumar,21/03/2020,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,Aarvi Gupta,15060.0
,,,,,,,,,,,,,,
139495.0,GJ,Shivanand Sahani,22/03/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,Aadil Khan,4350.0
139496.0,GJ,Vijay Mehta,23/03/2020,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,2.0,1600.0,2080.0,Advika Joshi,480.0
139497.0,GJ,Bijendra,24/03/2020,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,Ajay Sharma,540.0
139498.0,MP,Kranti Bheke,24/03/2020,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,Roshan Kumar,3150.0
139499.0,MH,Shanti Giri,24/03/2020,Processing,5 TB HDD,HDD,Western Digital,6500.0,8450.0,1.0,6500.0,8450.0,Aarvi Gupta,1950.0
139500.0,MH,Adhir Samal,24/03/2020,Delivered,260 GB SSD,SSD,Samsung,4500.0,5850.0,1.0,4500.0,5850.0,Vijay Singh,1350.0
139501.0,MH,Dannana Jhammi,24/03/2020,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Aadil Khan,10200.0
139502.0,MH,Vipin Kumar,24/03/2020,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,4.0,50000.0,65000.0,Advika Joshi,15000.0
139503.0,MH,Prakash Chamka,24/03/2020,Processing,12 GB DDR4 RAM,Computer Case,Hynix,3500.0,4550.0,3.0,10500.0,13650.0,Ajay Sharma,3150.0
139504.0,MH,Sajal Singhal,24/03/2020,Delivered,BTX motherboard,Mouse,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,Roshan Kumar,5400.0
139505.0,MH,Akhilesh Kumar,24/03/2020,Shipped,7 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,Aarvi Gupta,1890.0
139506.0,MH,Suvankar Chakraborty,25/03/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,2.0,2300.0,2990.0,Vijay Singh,690.0
139507.0,MH,Suvankar Adhikary,25/03/2020,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,3.0,1050.0,1365.0,Aadil Khan,315.0
139508.0,MH,Rahul Kumar Prajapati,25/03/2020,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,4.0,38000.0,49400.0,Advika Joshi,11400.0
139509.0,MH,Sagar Jeur,25/03/2020,Shipped,6 TB HDD,HDD,Western Digital,10000.0,13000.0,4.0,40000.0,52000.0,Ajay Sharma,12000.0
139510.0,MH,Rhushikesh Mane,25/03/2020,Order,516 GB M.2,SSD,Samsung,6500.0,8450.0,1.0,6500.0,8450.0,Roshan Kumar,1950.0
139511.0,MH,Vishal Singh,25/03/2020,Processing,RYZEN 3rd gen. 3504,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,Aarvi Gupta,7650.0
139512.0,MH,Javed Akhter,25/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,Vijay Singh,6300.0
139513.0,TN,Haridas Balraj,25/03/2020,Shipped,20 GB DDR4 RAM,Computer Case,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,Aadil Khan,5895.0
139514.0,TR,Kundan Kumar,25/03/2020,Order,Standard ATX motherboard,Mouse,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,Advika Joshi,9180.0
139515.0,AN,Vinod Bhave,26/03/2020,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,Ajay Sharma,690.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
139516.0,CH,Aditya Agarwal,26/03/2020,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,2.0,1700.0,2210.0,Aadil Khan,510.0
139517.0,DH,Firdoush Jabee,26/03/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,1.0,650.0,845.0,Advika Joshi,195.0
139518.0,DD,Jay Prakash Kumar,26/03/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,2.0,15000.0,19500.0,Ajay Sharma,4500.0
139519.0,DL,Rajiv Singh,26/03/2020,Processing,6 TB HDD,HDD,Seagate,10000.0,13000.0,1.0,10000.0,13000.0,Roshan Kumar,3000.0
139520.0,LD,Ajay Sharma,26/03/2020,Delivered,5 TB SSD,SSD,Samsung,10500.0,13650.0,2.0,21000.0,27300.0,Aarvi Gupta,6300.0
139521.0,PY,Moinuddin Saifi,26/03/2020,Shipped,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,Vijay Singh,2550.0
139522.0,OR,Ramkrishna Das Adhikary,26/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,Aadil Khan,8400.0
139523.0,PB,Ranjeet Mandal,26/03/2020,Processing,8 GB DDR4 Ram,Computer Case,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,Advika Joshi,1008.0
139524.0,RJ,Ashwini Adsare,26/03/2020,Delivered,Micro ATX motherboard,Mouse,MSI,6540.0,8502.0,3.0,19620.0,25506.0,Ajay Sharma,5886.0
139525.0,SK,Rajesh Variya,26/03/2020,Shipped,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,1.0,2680.0,3484.0,Roshan Kumar,804.0
139526.0,TN,Amit Singh,26/03/2020,Order,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,4.0,33000.0,42900.0,Aarvi Gupta,9900.0
139527.0,TR,Vinod Mehta,26/03/2020,Processing,12 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,Vijay Singh,3180.0
139528.0,UK,Jignesh Mhatre,26/03/2020,Delivered,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,Aadil Khan,15060.0
139529.0,UP,Rahul Kashyap,26/03/2020,Shipped,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,Advika Joshi,4350.0
139530.0,WB,Mohammed Abdul Kaleem,27/03/2020,Order,USB Keyboard,Keyboard,Dell,800.0,1040.0,4.0,3200.0,4160.0,Ajay Sharma,960.0
